# Copyright 2021 Google LLC
# Copyright 2022 @drashna
# Copyright 2022 @filterpaper
# SPDX-License-Identifier: Apache-2.0
# Original source: https://getreuer.info/posts/keyboards/autocorrection

:adn:          -> and
:alot:         -> a lot
:anually       -> annually
:comming:      -> coming
:eratic        -> erratic
:esle          -> else
:giit:         -> git
:grammer       -> grammar
:guage         -> gauge
:halp:         -> help
:hapen         -> happen
:hting         -> thing
:layed         -> laid
:leage         -> league
:leran         -> learn
:loev          -> love
:nkow          -> know
:nkwo          -> know
:nto:          -> not
:onyl:         -> only
:peice         -> piece
:quitted       -> quit
:scoll:        -> scroll
:sieze         -> seize
:soem:         -> some
:sohw:         -> show
:tath:         -> that
:teh:          -> the
:tghe:         -> the
:the:the:      -> the
:thier         -> their
:thn:          -> then
:thna:         -> than
:thne:         -> then
:thsi:         -> this
:thta:         -> that
:tiem:         -> time
:tihs:         -> this
:ture          -> true
:twon          -> town
:twpo          -> two
:tyhe          -> they
:ues:          -> use
:undre:        -> under
:veyr:         -> very
:vyer:         -> very
:vyre:         -> very
:waht:         -> what
:wrok:         -> work
:wtih:         -> with
:yaer          -> year
:yera          -> year
:yrea          -> year
:ytou:         -> you
:yuo:          -> you
abbout         -> about
abilty         -> ability
abotu          -> about
abouta         -> about a
aboutit        -> about it
aboutthe       -> about the
abreviate:     -> abbreviate
absense        -> absence
absolutly      -> absolutely
acceptence     -> acceptance
acceptible     -> acceptable
accesories     -> accessories
accessable     -> accessible
accidant:      -> accident
accidentaly    -> accidentally
accomodate     -> accommodate
accross        -> across
acheive        -> achieve
acommodate     -> accommodate
acquaintence   -> acquaintance
adquire        -> acquire
adress         -> address
aknowledge     -> acknowledge
amatuer        -> amateur
annualy        -> annually
aparent        -> apparent
aparrent       -> apparent
apparant       -> apparent
apparrent      -> apparent
aquaintance    -> acquaintance
aquire         -> acquire
arguement      -> argument
athiest        -> atheist
aweful         -> awful
backgorund     -> background
bandwith       -> bandwidth
bankrupcy      -> bankruptcy
banruptcy      -> bankruptcy
baout          -> about
basicaly       -> basically
basicly        -> basically
bcak           -> back
beacuse        -> because
beatiful       -> beautiful
becomeing      -> becoming
becomming      -> becoming
becuase        -> because
beeing         -> being
befoer         -> before
begginer       -> beginner
beggining      -> beginning
beggins        -> begins
begining       -> beginning
beginnig       -> beginning
beleive        -> believe
beleiving      -> believing
belive         -> believe
beng:          -> being
beteen         -> between
betwen         -> between
beween         -> between
bewteen        -> between
bizzare        -> bizarre
boook          -> book
borke          -> broke
boundry        -> boundary
buisness       -> business
burried        -> buried
cahracters     -> characters
calculater     -> calculator
campagin       -> campaign
captial        -> capital
careing        -> caring
carreer        -> career
carryng        -> carrying
casue          -> cause
casuing        -> causing
catagories     -> categories
catagorised    -> categorised
catagory       -> category
cauhgt         -> caught
cencus         -> census
certian        -> certain
chalenging     -> challenging
challange      -> challenge
changable      -> changeable
cheif          -> chief
chemcial       -> chemical
chemestry      -> chemistry
choosen        -> chosen
chracter       -> character
cieling        -> ceiling
circut         -> circuit
claer          -> clear
collegue       -> colleague
columm         -> column
