# Copyright 2021 Google LLC
# Copyright 2022 @filterpaper
# SPDX-License-Identifier: Apache-2.0
# Original source: https://getreuer.info/posts/keyboards/autocorrection

:alot:         -> a lot
:comming:      -> coming
:grammer       -> grammar
:guage         -> gauge
:momento:      -> memento
:the:the:      -> the
:thier         -> their
:ture          -> true
absense        -> absence
acceptible     -> acceptable
accidentaly    -> accidentally
accomodate     -> accommodate
acheive        -> achieve
acommodate     -> accommodate
acquaintence   -> acquaintance
adress         -> address
adultary       -> adultery
adviseable     -> advisable
agian          -> again
agression      -> aggression
agressive      -> aggressive
alegiance      -> allegiance
allegaince     -> allegiance
allegience     -> allegiance
allmost        -> almost
amatuer        -> amateur
amature        -> amateur
annualy        -> annually
anually        -> annually
aparent        -> apparent
aparrent       -> apparent
apparant       -> apparent
apparrent      -> apparent
aquaintance    -> acquaintance
aquire         -> acquire
aquit          -> acquit
arguement      -> argument
athiest        -> atheist
aweful         -> awful
awfull         -> awful
beatiful       -> beautiful
becomeing      -> becoming
becuase        -> because
begining       -> beginning
beleive        -> believe
bellweather    -> bellwether
buisness       -> business
calender       -> calendar
camoflage      -> camouflage
camoflague     -> camouflage
carribean      -> Caribbean
catagory       -> category
caugt          -> caught
cauhgt         -> caught
cemetary       -> cemetery
changable      -> changeable
cheif          -> chief
choosen        -> chosen
cieling        -> ceiling
collaegue      -> colleague
collegue       -> colleague
comitted       -> committed
commited       -> committed
comparsion     -> comparison
conceed        -> concede
concensus      -> consensus
concious       -> conscious
congradulate   -> congratulate
consciencious  -> conscientious
consious       -> conscious
contians       -> contain
contraversy    -> controversy
dacquiri       -> daiquiri
daquiri        -> daiquiri
decieve        -> deceive
definately     -> definitely
definitly      -> definitely
dervied        -> derived
desparate      -> desperate
diffrence      -> difference
dilema         -> dilemma
disasterous    -> disastrous
dissapoint     -> disappoint
drunkeness     -> drunkenness
dumbell        -> dumbbell
embarass       -> embarrass
enviroment     -> environment
equiptment     -> equipment
excede         -> exceed
exilerate      -> exhilarate
existance      -> existence
experiance     -> experience
extreem        -> extreme
facinating     -> fascinating
fales          -> false
familar        -> familiar
fasle          -> false
febuary        -> february
firey          -> fiery
fitler         -> filter
flase          -> false
flourescent    -> fluorescent
foriegn        -> foreign
fourty         -> forty
foward         -> forward
freind         -> friend
frequecy       -> frequency
fullfil        -> fulfil
futher         -> further
garantee       -> guarantee
garentee       -> guarantee
gaurantee      -> guarantee
glamourous     -> glamorous
goverment      -> government
gratefull      -> grateful
greatful       -> grateful
guaratee       -> guarantee
guidence       -> guidance
harrass        -> harass
heighth        -> height
heigth         -> height
heirarchy      -> hierarchy
higeine        -> hygiene
hipocrit       -> hypocrite
hiygeine       -> hygiene
humerous       -> humorous
hygeine        -> hygiene
hygene         -> hygiene
hygine         -> hygiene
ignorence      -> ignorance
imediately     -> immediately
immitate       -> imitate
inclued        -> include
independant    -> independent
indispensible  -> indispensable
indite         -> indict
innoculate     -> inoculate
inteligence    -> intelligence
